HCLIM variable name;HCLIM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
w1000;w1000;wa1000;;;PressureLevel;1;;point;mean;mean;mean;100000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
w950;w950;wa950;;;PressureLevel;1;;point;mean;mean;mean;95000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
w925;w925;wa925;;;PressureLevel;1;;point;mean;mean;mean;92500;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
w900;w900;wa900;;;PressureLevel;1;;point;mean;mean;mean;90000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
w850;w850;wa850;;;PressureLevel;1;;point;mean;mean;mean;85000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
w775;w775;wa775;;;PressureLevel;1;;point;mean;mean;mean;77500;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
w700;w700;wa700;;;PressureLevel;1;;point;mean;mean;mean;70000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
w600;w600;wa600;;;PressureLevel;1;;point;mean;mean;mean;60000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
w500;w500;wa500;;;PressureLevel;1;;point;mean;mean;mean;50000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
w350;w350;wa350;;;PressureLevel;1;;point;mean;mean;mean;35000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
w200;w200;wa200;;;PressureLevel;1;;point;mean;mean;mean;20000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
uas;uas;uas;;;ModelLevel;1;;point;mean;mean;mean;10;m s-1;;24;i;1;24;1;m*24;1;s*24;;Eastward Near-Surface Wind;;eastward_wind;;atmos;
ua1000;ua1000;ua1000;;;PressureLevel;1;;point;mean;mean;mean;100000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Eastward Wind;;eastward_wind;;atmos;
ua950;ua950;ua950;;;PressureLevel;1;;point;mean;mean;mean;95000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Eastward Wind;;eastward_wind;;atmos;
ua925;ua925;ua925;;;PressureLevel;1;;point;mean;mean;mean;92500;m s-1;;8;i;1;8;1;m*8;1;s*8;;Eastward Wind;;eastward_wind;;atmos;
